,Ticker,Number of Holdings,Percentage of Assets in Top 10,Beta,Issuer,ESG Score,Annual Dividend Rate in $,Annual Dividend Yield %,Expense Ratio,Inception,Index Tracked,Category,Asset Class,Asset Class Size,Asset Class Style,Region (General),Region (Specific),AUM in Millions $,Shares in Millions,Num of sectors,Sector (General),Sector (Specific)
150,BBIN,1014.0,11.32,0.93,J.P. Morgan,7.43,0.59,1.05,0.0007,12/3/2019,Morningstar Developed Markets ex-North America Target Market Exposure Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,3088.7,54.6,21,,
151,XVV,453.0,30.46,0.96,iShares,5.25,0.09,0.31,0.0008,9/22/2020,S&P 500 Sustainability Screened Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,27.9,1.0,20,,
153,GII,78.0,37.78,0.86,State Street SPDR,7.04,1.33,2.67,0.004,1/31/2007,Macquarie Global Infrastructure 100 Index,Utilities Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,402.3,8.1,8,Utilities,Infrastructure
154,DWM,718.0,14.66,0.84,WisdomTree,7.76,1.39,2.71,0.0048,6/16/2006,"WisdomTree Dividend Index of Europe, Far East Asia and Australasia",Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,586.2,11.5,21,,
155,TUSA,1202.0,6.71,1.21,First Trust,5.03,0.4,0.91,0.006999999999999999,12/5/2006,NASDAQ AlphaDEX Total US Market Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,17.7,0.4,21,,
156,MTUM,127.0,40.61,0.92,iShares,5.25,1.34,0.86,0.0015,4/16/2013,MSCI USA Momentum Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,13918.8,89.7,19,,
159,XPH,43.0,44.65,1.11,State Street SPDR,5.28,0.25,0.47,0.0035,6/19/2006,S&P Pharmaceuticals Select Industry Index,Health & Biotech Equities,Equity,Multi-Cap,Blend,North America,U.S.,272.5,5.3,3,Healthcare,Pharmaceutical
160,FDNI,41.0,65.07,0.84,First Trust,5.51,0.07,0.16,0.0065,11/5/2018,Dow Jones International Internet Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,Broad Asia,Broad,126.3,2.7,6,,
161,FMIL,114.0,45.54,1.17,Fidelity,6.16,0.22,0.8,0.0059,6/2/2020,NONE,Large Cap Blend Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,37.1,1.4,0,,
162,VIS,355.0,30.49,1.21,Vanguard,6.11,2.35,1.3,0.001,9/23/2004,MSCI US Investable Market Industrials 25/50 Index,Industrials Equities,Equity,Multi-Cap,Blend,North America,U.S.,4456.7,24.7,16,Industrials,Broad
163,IWL,196.0,32.49,0.99,iShares,5.09,1.17,1.28,0.0015,9/22/2009,Russell Top 200 Index,Large Cap Growth Equities,Equity,Mega-Cap,Growth,North America,U.S.,821.0,9.0,21,,
166,VWO,4064.0,26.29,0.84,Vanguard,4.57,0.96,1.81,0.001,3/10/2005,FTSE Emerging Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,78016.9,1482.1,23,,
167,AMOM,51.0,40.43,0.92,Exchange Traded Concepts,5.26,7.79,24.65,0.0075,5/21/2019,NONE,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,5.5,0.2,12,,
168,GXF,31.0,52.98,0.8,Global X,9.27,0.31,1.14,0.0051,8/17/2009,FTSE Nordic 30 Index,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,28.5,1.1,10,,
170,UDOW,31.0,58.13,3.15,ProShares,5.82,0.19,0.17,0.0095,2/9/2010,Dow Jones Industrial Average (300%),Leveraged Equities,Equity,Large-Cap,Blend,North America,U.S.,669.2,6.0,0,,
171,RTM,29.0,40.18,1.09,Invesco,6.58,2.19,1.45,0.004,11/7/2006,S&P Equal Weight Index Materials,Materials,Equity,Mid-Cap,Blend,North America,U.S.,589.3,3.9,4,Materials,Broad
172,QEFA,705.0,14.53,0.75,State Street SPDR,7.44,1.27,1.83,0.003,6/4/2014,MSCI EAFE Quality Mix Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,567.0,8.2,21,,
173,VXF,3313.0,9.82,1.27,Vanguard,3.98,1.77,1.01,0.0006,1/4/2002,S&P Completion Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,15056.8,86.4,23,,
174,IQLT,301.0,25.29,0.82,iShares,7.51,0.57,1.64,0.003,1/13/2015,MSCI World ex USA Sector Neutral Quality Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,2859.9,81.8,21,,
175,HEZU,3.0,100.0,0.9,iShares,7.0,0.72,2.21,0.0054,7/9/2014,MSCI EMU 100% USD Hedged Index,Europe Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,496.9,15.2,1,,
176,OBOR,105.0,41.96,0.88,KraneShares,3.55,0.55,1.95,0.008,9/7/2017,MSCI Global China Infrastructure Exposure Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,8.5,0.3,12,,
177,AFK,75.0,47.12,1.08,VanEck,6.36,0.8,3.79,0.0079,7/10/2008,Dow Jones Africa Titans 50 Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Africa,Broad,54.7,2.6,14,,
178,QYLG,104.0,51.18,1.05,Global X,4.59,0.74,2.59,0.006,9/21/2020,CBOE Nasdaq-100 BuyWrite V2 Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,10.2,0.3,15,,
179,EMQQ,98.0,55.55,1.0,Exchange Traded Concepts,4.2,0.11,0.17,0.0086,11/12/2014,Emerging Markets Internet and Ecommerce Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,1898.8,28.2,10,Technology,Internet
180,IEMG,2509.0,26.16,0.87,iShares,4.68,1.16,1.79,0.0011,10/18/2012,MSCI Emerging Markets Investable Market Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,76388.5,1182.0,20,,
181,GUNR,120.0,37.16,1.05,FlexShares,6.18,0.91,2.47,0.0046,9/16/2011,Morningstar Global Upstream Natural Resources Index,Commodity Producers Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,4591.1,125.4,9,Materials,Natural Resources
182,IJS,474.0,8.28,1.34,iShares,4.05,1.35,1.34,0.0018,7/24/2000,S&P SmallCap 600/Citigroup Value Index,Small Cap Value Equities,Equity,Micro-Cap,Blend,North America,U.S.,8420.4,84.1,21,,
183,EELV,200.0,8.57,0.72,Invesco,4.58,0.63,2.73,0.003,1/13/2012,S&P BMI Emerging Markets Low Volatility Index,Volatility Hedged Equity,Equity,Large-Cap,Blend,Emerging Markets,Broad,276.3,12.0,19,,
185,EASG,417.0,17.81,0.87,DWS,8.11,0.5,1.71,0.0014,9/6/2018,MSCI EAFE ESG Leaders Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,EAFE,17.3,0.6,22,,
186,SYE,51.0,41.45,1.04,State Street SPDR,4.92,1.15,1.13,0.006,1/8/2014,NONE,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,17.2,0.2,17,,
187,DIVB,340.0,26.34,1.08,iShares,5.96,0.69,1.94,0.0025,11/7/2017,Morningstar US Dividend and Buyback Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,51.8,1.5,21,,
188,FNDE,315.0,25.27,0.93,Charles Schwab,4.59,0.7,2.33,0.0039,8/15/2013,Russell Fundamental Emerging Markets Large Company Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,3885.4,128.4,20,,
189,IQDY,201.0,18.65,1.01,FlexShares,6.57,0.74,2.51,0.0047,4/12/2013,Northern Trust International Quality Dividend Dynamic Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,44.1,1.5,19,,
190,EES,701.0,7.47,1.44,WisdomTree,3.84,0.5,1.09,0.0038,2/23/2007,WisdomTree SmallCap Earnings Index,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,569.9,12.3,21,,
191,IXJ,114.0,37.41,0.7,iShares,6.06,0.97,1.31,0.0046,11/13/2001,S&P Global Healthcare Sector Index,Health & Biotech Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,2634.9,35.5,10,Healthcare,Broad
192,DWUS,3.0,100.0,0.98,AdvisorShares,4.91,0.07,0.21,0.0114,12/26/2019,NONE,Diversified Portfolio,Equity,Large-Cap,Growth,North America,U.S.,77.4,2.3,2,,
193,SPYV,438.0,18.73,1.01,State Street SPDR,6.21,0.82,2.22,0.0004,9/29/2000,S&P 500 Value Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,9058.6,245.3,20,,
195,VGT,347.0,57.31,1.1,Vanguard,4.94,2.91,0.84,0.001,1/30/2004,MSCI US Investable Market Information Technology 25/50 Index,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,40417.9,115.9,12,Technology,Broad
196,VTWV,1502.0,8.36,1.27,Vanguard,4.07,1.72,1.25,0.0015,9/22/2010,Russell 2000 Value Index,Small Cap Value Equities,Equity,Multi-Cap,Blend,North America,U.S.,718.1,5.2,21,,
197,STMB,371.0,9.73,1.03,iShares,5.31,0.45,1.14,0.003,4/14/2020,Russell US Mid Cap Factors Blend Style Index,All Cap Equities,Equity,Mid-Cap,Blend,North America,U.S.,5.9,0.2,21,,
199,DGRO,393.0,25.66,0.95,iShares,6.35,1.03,2.23,0.0008,6/10/2014,Morningstar US Dividend Growth Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,16243.7,351.5,21,,
200,REZ,45.0,58.87,0.7,iShares,1.97,2.15,3.02,0.0048,5/4/2007,FTSE NAREIT All Residential Capped Index,Real Estate,Real Estate,Mid-Cap,Blend,North America,U.S.,462.3,6.5,3,Real Estate,Residential Real Estate
201,RYJ,165.0,7.74,1.49,Invesco,3.73,0.14,0.25,0.0076,5/19/2006,Raymond James SB-1 Equity Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,133.4,2.3,18,,
202,SMLF,462.0,9.56,1.15,iShares,4.95,0.61,1.21,0.003,4/28/2015,MSCI USA Small Cap Diversified Multi-Factor,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,833.5,16.6,21,,
205,IXUS,4288.0,10.29,0.87,iShares,6.45,1.24,1.81,0.0009,10/18/2012,MSCI ACWI ex USA Investable Market Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,25883.1,375.8,22,,
207,SMH,26.0,61.16,1.22,VanEck,7.27,1.5,0.69,0.0035,12/20/2011,MVIS US Listed Semiconductor 25 Index,Technology Equities,Equity,Large-Cap,Growth,Developed Markets,Broad,4853.4,21.2,4,Technology,Semiconductors
208,UTSL,34.0,72.77,1.14,Direxion,7.51,0.38,1.67,0.0099,5/3/2017,Industrial Select Sector Index (300%),Leveraged Equities,Equity,Large-Cap,Value,North America,U.S.,20.6,0.9,0,Utilities,Broad
209,RESD,290.0,14.28,0.79,WisdomTree,7.95,0.53,1.87,0.003,11/3/2016,NONE,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,7.1,0.3,20,,
211,CATH,455.0,26.83,1.01,Global X,5.52,0.57,1.19,0.0029,4/18/2016,S&P 500 Catholic Values Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,484.2,10.1,20,,
212,IXN,129.0,55.33,1.05,iShares,6.11,1.88,0.63,0.0046,11/12/2001,S&P Global Information Technology Sector Index,Technology Equities,Equity,Large-Cap,Growth,North America,U.S.,4940.5,16.6,10,Technology,Broad
213,IDHD,103.0,15.94,0.73,Invesco,6.73,0.99,3.77,0.003,12/1/2016,S&P EPAC Ex-Korea Low Volatility High Dividend Index ,Volatility Hedged Equity,Equity,Large-Cap,Value,Developed Markets,Broad,18.3,0.7,19,,
214,KEMQ,50.0,36.34,0.95,KraneShares,3.68,0.74,2.18,0.0061,10/12/2017,Solactive Emerging Markets Consumer Technology Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,Broad Asia,Pacific ex-Japan,95.5,2.8,8,Technology,Broad
216,RXI,153.0,42.51,1.09,iShares,5.92,1.01,0.65,0.0046,9/21/2006,S&P Global Consumer Discretionary Index,Consumer Discretionary Equities,Equity,Large-Cap,Blend,Developed Markets,Broad,410.5,2.7,13,Consumer Discretionary,Broad
217,JHEM,626.0,25.73,0.88,John Hancock,5.33,0.49,1.59,0.0049,9/27/2018,John Hancock Dimensional Emerging Markets Index,Emerging Markets Equities,Equity,Multi-Cap,Blend,Emerging Markets,Broad,715.2,23.3,20,,
219,FNDA,921.0,3.73,1.31,Charles Schwab,4.52,0.56,1.12,0.0025,8/15/2013,Russell Fundamental U.S. Small Company Index,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,4207.5,84.1,21,,
221,FTXN,44.0,57.73,1.86,First Trust,4.39,0.21,1.26,0.006,9/21/2016,Nasdaq U.S. Smart Oil & Gas Index,Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,29.4,1.8,3,Energy,Oil & Gas Exploration & Production
224,EUFN,83.0,40.21,1.2,iShares,9.84,0.24,1.26,0.0048,1/20/2010,MSCI Europe Financials Index,Financials Equities,Equity,Large-Cap,Value,Developed Europe,Broad,1383.4,72.9,5,Financials,Broad
225,ECH,32.0,65.71,0.99,iShares,5.01,0.65,2.02,0.0059,11/12/2007,MSCI Chile Investable Market Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Latin America,Chile,517.7,16.0,12,,
226,IQDF,193.0,18.06,0.9,FlexShares,6.81,0.8,3.2,0.0047,4/12/2013,Northern Trust International Quality Dividend Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,545.0,21.8,18,,
227,NACP,193.0,31.08,1.0,Impact Shares,5.42,0.43,1.47,0.0049,7/18/2018,Morningstar Minority Empowerment Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,23.3,0.8,18,,
229,VETS,55.0,22.73,0.89,Pacer Financial,5.87,0.51,1.45,0.006,4/10/2018,Military Times Best for Vets Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,1.8,0.1,17,,
230,ENTR,65.0,61.67,1.14,EntrepreneurShares,3.21,1.65,6.62,0.0049,11/8/2017,Entrepreneur 30 Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,142.3,5.7,10,,
233,PXI,31.0,42.39,2.23,Invesco,3.72,0.3,1.1,0.006,10/12/2006,Dynamic Energy Sector Intellidex Index,Energy Equities,Equity,Multi-Cap,Blend,North America,U.S.,131.0,4.8,5,Energy,Oil & Gas Exploration & Production
235,BKSE,730.0,4.15,1.41,Bank of New York Mellon,4.17,0.69,0.74,0.0004,4/9/2020,Morningstar US Small Cap Index,Small Cap Growth Equities,Equity,Multi-Cap,Blend,North America,U.S.,115.2,1.3,20,,
236,MOTI,71.0,23.46,0.92,VanEck,6.36,0.72,2.04,0.0057,7/13/2015,Morningstar Global ex-US Moat Focus Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,65.2,1.9,17,,
238,USXF,312.0,26.36,1.17,iShares,7.03,0.18,0.57,0.001,6/16/2020,MSCI USA Choice ESG Screened Index,Large Cap Growth Equities,Equity,Multi-Cap,Blend,North America,U.S.,136.8,4.3,20,,
239,IRBO,113.0,15.49,1.17,iShares,4.73,0.21,0.48,0.0047,6/26/2018,NYSE FactSet Global Robotics and Artificial Intelligence Index,Global Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,409.6,9.4,13,Technology,Broad
240,BBAX,157.0,41.51,0.92,J.P. Morgan,8.26,0.69,2.42,0.0019,8/7/2018,Morningstar Developed Asia Pacific ex-Japan Target Market Exposure Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Developed Asia Pacific,Pacific ex-Japan,3746.9,130.6,20,,
241,FLEH,569.0,16.59,0.8,Franklin Templeton Investments,7.76,0.47,1.86,0.0009,11/2/2017,FTSE Developed Europe Capped Hedged to USD Index,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,9.8,0.4,22,,
242,USLB,394.0,3.51,0.94,Invesco,5.71,0.85,2.4,0.0035,11/5/2015,Russell 1000 Low Beta Equal Weight Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,8.9,0.3,20,,
243,MGV,144.0,26.34,0.94,Vanguard,5.86,2.14,2.31,0.0007,12/21/2007,MSCI US Large Cap Value Index,Large Cap Blend Equities,Equity,Mega-Cap,Blend,North America,U.S.,3877.3,41.9,18,,
244,GWX,2557.0,2.8,1.01,State Street SPDR,4.32,0.62,1.71,0.004,4/26/2007,S&P Developed Ex-U.S. Under USD2 Billion Index,Foreign Small & Mid Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,801.6,22.2,21,,
245,GURU,69.0,16.95,1.14,Global X,4.93,1.2,2.67,0.0075,6/4/2012,Top Guru Holdings Index,Large Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,69.8,1.6,16,,
246,JMIN,233.0,7.04,0.8,J.P. Morgan,6.35,0.91,2.81,0.0012,11/8/2017,JP Morgan US Minimum Volatility Index,Volatility Hedged Equity,Equity,Multi-Cap,Blend,North America,U.S.,17.6,0.6,21,,
247,JDIV,213.0,7.75,1.08,J.P. Morgan,5.3,1.22,4.04,0.0012,11/8/2017,JP Morgan US Dividend Index,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,17.9,0.6,22,,
248,SLT,101.0,12.32,1.55,Salt Financial LLC,5.59,0.63,1.6,0.0029,5/16/2018,Salt truBeta High Exposure Index,All Cap Equities,Equity,Multi-Cap,Growth,North America,U.S.,11.9,0.3,17,,
250,DIV,51.0,21.73,1.15,Global X,3.23,1.23,6.65,0.0046,3/11/2013,INDXX SuperDividend U.S. Low Volatility Index,Volatility Hedged Equity,Equity,Multi-Cap,Blend,North America,U.S.,599.6,32.4,15,,
251,VEGN,289.0,39.43,1.05,Beyond Investing LLC,5.46,0.24,0.7,0.006,9/9/2019,Beyond Investing US Vegan Climate Index,Large Cap Growth Equities,Equity,Large-Cap,Growth,North America,U.S.,40.9,1.2,19,,
252,XBI,171.0,12.08,1.3,State Street SPDR,3.15,0.28,0.2,0.0035,2/6/2006,S&P Biotechnology Select Industry Index,Health & Biotech Equities,Equity,Multi-Cap,Growth,North America,U.S.,7200.4,51.9,4,Healthcare,Biotechnology
253,IHDG,246.0,41.51,0.7,WisdomTree,8.09,0.76,1.92,0.0058,5/7/2014,WisdomTree International Hedged Dividend Growth Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,863.2,21.8,21,,
254,EVX,24.0,60.78,1.12,VanEck,5.57,0.39,0.3,0.0055,10/16/2006,NYSE Arca Environmental Services Index,Industrials Equities,Equity,Multi-Cap,Blend,North America,U.S.,44.3,0.4,8,Industrials,Environmental Services
255,HSMV,151.0,18.4,1.04,First Trust,5.26,0.23,0.72,0.008,4/6/2020,NONE,Small Cap Blend Equities,Equity,Multi-Cap,Blend,North America,U.S.,15.3,0.5,20,,
256,XJR,560.0,9.86,1.48,iShares,4.46,0.19,0.5,0.0012,9/22/2020,S&P SmallCap 600 Sustainability Screened Index,Small Cap Blend Equities,Equity,Small-Cap,Blend,North America,U.S.,9.6,0.3,20,,
257,FNY,226.0,9.26,1.16,First Trust,4.33,0.16,0.25,0.006999999999999999,4/19/2011,Defined Mid Cap Growth Index,Mid Cap Growth Equities,Equity,Mid-Cap,Growth,North America,U.S.,477.6,7.2,20,,
258,RDVY,51.0,23.59,1.21,First Trust,7.84,0.61,1.4,0.005,1/6/2014,NASDAQ US Rising Dividend Achievers Index,Large Cap Blend Equities,Equity,Large-Cap,Blend,North America,U.S.,2572.9,58.9,15,,
259,PIE,101.0,25.62,0.83,Invesco,3.91,0.3,1.26,0.009000000000000001,12/28/2007,Dorsey Wright Emerging Markets Technical Leaders Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,229.6,9.5,19,,
260,SSLY,604.0,6.49,1.53,"Syntax Advisors, LLC",4.08,0.37,0.72,0.003,5/28/2020,Syntax Stratified SmallCap Index,Small Cap Blend Equities,Equity,Micro-Cap,Blend,North America,U.S.,19.0,0.4,21,,
261,QINT,459.0,12.92,0.93,American Century Investments,6.36,0.78,1.6,0.0039,9/10/2018,Alpha Vee American Century Diversified International Equity Index,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,136.0,2.8,21,,
262,EWL,42.0,68.36,0.63,iShares,8.59,0.65,1.52,0.0051,3/12/1996,MSCI Switzerland Index,Europe Equities,Equity,Large-Cap,Blend,North America,U.S.,1659.3,38.9,14,,
263,SQQQ,17.0,91.59,-2.35,ProShares,6.1,0.06,0.43,0.0095,2/9/2010,NASDAQ-100 Index (-300%),Leveraged Equities,Equity,Large-Cap,Growth,North America,U.S.,1762.2,117.2,0,,
264,IVOV,308.0,7.78,1.29,Vanguard,4.62,3.18,2.11,0.0015,9/9/2010,S&P MidCap 400 Value Index,Mid Cap Value Equities,Equity,Mid-Cap,Value,North America,U.S.,632.1,4.2,21,,
265,VEU,3157.0,10.69,0.87,Vanguard,6.59,1.17,1.94,0.0008,3/8/2007,FTSE All-World ex US Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,31831.1,528.6,22,,
266,PPH,25.0,50.11,0.88,VanEck,6.28,1.1,1.64,0.0036,12/20/2011,MVIS US Listed Pharmaceutical 25 Index,Health & Biotech Equities,Equity,Multi-Cap,Blend,Developed Markets,Broad,183.6,2.7,3,Healthcare,Pharmaceutical
267,QSY,131.0,16.46,1.2,WisdomTree,4.85,1.61,1.45,0.0038,2/23/2007,NONE,All Cap Equities,Equity,Multi-Cap,Blend,North America,U.S.,57.9,0.5,20,,
268,FPA,100.0,19.55,1.08,First Trust,4.56,0.51,1.52,0.008,4/20/2011,Defined Asia Pacific Ex-Japan Index,Asia Pacific Equities,Equity,Large-Cap,Blend,Broad Asia,Pacific ex-Japan,20.3,0.6,20,,
269,PYZ,31.0,41.03,1.39,Invesco,4.92,0.74,0.95,0.006,10/12/2006,Dynamic Basic Materials Sector Intellidex Index,Materials,Equity,Multi-Cap,Blend,North America,U.S.,78.9,1.0,5,Materials,Broad
270,EPU,27.0,72.57,1.04,iShares,4.79,0.66,1.8,0.0059,6/19/2009,MSCI All Peru Capped Index,Mid Cap Blend Equities,Equity,Mid-Cap,Blend,Latin America,Peru,182.3,5.0,11,,
271,FTXO,28.0,63.03,1.45,First Trust,6.38,0.65,2.1,0.006,9/21/2016,Nasdaq U.S. Smart Banks Index,Financials Equities,Equity,Multi-Cap,Blend,North America,U.S.,200.6,6.5,2,Financials,Banks
273,STLC,264.0,23.35,0.88,iShares,5.42,0.39,1.06,0.0025,4/14/2020,Russell US Large Cap Factors Blend Style Index,Large Cap Growth Equities,Equity,Large-Cap,Blend,North America,U.S.,5.5,0.2,22,,
274,PFXF,138.0,23.15,0.55,VanEck,4.5,1.04,5.18,0.0041,7/16/2012,Wells Fargo Hybrid and Preferred Securities ex Financials Index,Preferred Stock/Convertible Bonds,Preferred Stock,Multi-Cap,Blend,North America,U.S.,856.3,42.5,0,,
275,TZA,3.0,100.0,-3.14,Direxion,5.73,0.08,0.22,0.0107,11/5/2008,Russell 2000 Index (-300%),Leveraged Equities,Equity,Micro-Cap,Blend,North America,U.S.,372.9,10.0,0,,
276,EURZ,270.0,22.8,1.09,DWS,6.9,0.68,2.75,0.0009,8/19/2015,NASDAQ Eurozone Large Mid Cap Index,Europe Equities,Equity,Large-Cap,Blend,Developed Europe,Broad,2.5,0.1,21,,
277,VXUS,6859.0,11.13,0.89,Vanguard,6.48,1.29,2.07,0.0008,1/26/2011,MSCI All Country World ex USA Investable Market Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,42029.7,676.2,22,,
278,DDWM,714.0,14.59,0.79,WisdomTree,7.76,0.98,3.39,0.004,1/7/2016,WisdomTree Dynamic Currency Hedged International Equity Index,Foreign Large Cap Equities,Equity,Large-Cap,Blend,Broad Asia,Broad,144.4,5.1,21,,
279,MGC,237.0,32.45,0.99,Vanguard,5.11,1.93,1.42,0.0007,12/24/2007,CRSP US Mega Cap Index,Large Cap Growth Equities,Equity,Mega-Cap,Blend,North America,U.S.,3416.1,25.2,21,,
280,PAMC,121.0,25.24,1.58,Pacer Financial,4.86,0.1,0.28,0.006,6/24/2020,Lunt Capital U.S. MidCap Multi-Factor Rotation,Mid Cap Growth Equities,Equity,Multi-Cap,Growth,North America,U.S.,23.9,0.7,19,,
281,FNCL,388.0,41.79,1.2,Fidelity,6.62,0.95,1.97,0.0008,10/21/2013,MSCI USA IMI Financials Index,Financials Equities,Equity,Large-Cap,Blend,North America,U.S.,1359.0,28.7,5,Financials,Broad
282,EMDV,54.0,22.65,0.83,ProShares,4.89,1.81,3.04,0.0061,1/25/2016,MSCI Emerging Markets Dividend Masters Index,Emerging Markets Equities,Equity,Large-Cap,Blend,Emerging Markets,Broad,21.7,0.4,18,,
284,DINT,27.0,63.82,0.98,Davis Advisors,6.23,0.06,0.26,0.0065,3/1/2018,NONE,Foreign Large Cap Equities,Equity,Multi-Cap,Blend,Global ex-U.S.,Broad,310.1,12.7,9,,
285,SLVP,34.0,65.06,0.97,iShares,4.32,0.41,2.74,0.0039,1/31/2012,MSCI ACWI Select Silver Miners Investable Market Index,Materials,Equity,Multi-Cap,Blend,Developed Markets,Broad,273.8,18.4,4,Materials,Silver Miners
286,PWV,52.0,33.7,0.99,Invesco,6.11,1.03,2.47,0.0056,3/3/2005,Dynamic Large Cap Value Intellidex Index,Large Cap Value Equities,Equity,Large-Cap,Value,North America,U.S.,687.9,16.6,15,,
287,DTEC,100.0,12.95,1.17,ALPS,6.49,0.17,0.4,0.005,12/29/2017,Indxx Disruptive Technologies Index ,Technology Equities,Equity,Multi-Cap,Growth,Developed Markets,Broad,194.6,4.5,9,Technology,Broad
288,WOOD,26.0,57.92,1.19,iShares,7.77,0.78,0.93,0.0046,6/24/2008,S&P Global Timber & Forestry Index,Materials,Equity,Multi-Cap,Blend,Developed Markets,Broad,332.8,4.0,5,Materials,Timber
290,OMFS,1186.0,6.22,1.21,Invesco,4.04,0.35,0.91,0.0039,11/8/2017,Russell 2000 OFI Dynamic Multifactor Index,Small Cap Value Equities,Equity,Micro-Cap,Blend,North America,U.S.,70.3,1.8,21,,
