,Category,Fundamental Cluster,Risk Cluster,kmean_env_cluster,Kmean_Social_cluster,Kmean_Gov_cluster
PSCM,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FBZ,Latin America Stock,Low Fundamentals Broad Market,High Risk - Double Market Volatile,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
FTRI,Natural Resources,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Low Social_Responsibility,High Gov_Responsibility
FDTS,Foreign Small/Mid Value,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
IDMO,Foreign Large Growth,High Fundamental Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
PXJ,Equity Energy,"Low Fundamental ETF’s (Energy, Health,Finance)",High Risk - Double Market Volatile,Neutral Env_Responsibility,High Social_Responsibility,Neutral Gov_Responsibility
FLM,Industrials,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FTLB,Option Writing,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Neutral Env_Responsibility,Low Social_Responsibility,Neutral Gov_Responsibility
NFTY,India Equity,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,Low Gov_Responsibility
FTAG,Natural Resources,Mid Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
CHII,China Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,High Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
CHIM,China Region,Low Fundamentals Broad Market,Moderat/High Risk - Slightly Above Market Volatility,Low Env_Responsibility,Low Social_Responsibility,Low Gov_Responsibility
CHIE,China Region,Low Fundamentals Broad Market,Moderat Risk - Slighty Below Market Volatility,Low Env_Responsibility,High Social_Responsibility,Low Gov_Responsibility
LTL,Trading--Leveraged Equity,Market Leveraged ETF,High Risk - Double Market Volatile,High Env_Responsibility,Neutral Social_Responsibility,High Gov_Responsibility
